day_of_week,hour,location,address,lon,lat,time_spendt,popularity,current_pop,Zeit
Sonntag,4,Brennerberg,"Tiroler Str. 33, 13187 Berlin",52.558784679722564,13.405973651744956,People typically spend up to 1 hour here,1,26,2021-08-01T20:37:14Z
Sonntag,4,Kissingen-Stadion,"Forchheimer Str. 22, 13189 Berlin",52.56612867972399,13.421722951745233,"People typically spend 20 min to 1,5 hr here",0,-1,2021-08-01T20:37:14Z
Sonntag,4,Diseño,"Berliner Str. 53, 13189 Berlin",52.55848007972245,13.410832151744893,,0,-1,2021-08-01T20:37:14Z
Sonntag,4,U Vinetastr.,13189 Berlin,52.55943137972266,13.411141951744963,,0,47,2021-08-01T20:37:14Z
Sonntag,4,S+U Pankow,13187 Berlin,52.56639777972402,13.4083283517452,,0,28,2021-08-01T20:37:14Z
Sonntag,4,Wochenmarkt Pankow,"Breite Str. 17, 13187 Berlin",52.56999217972469,13.4040258517453,People typically spend 10 min here,0,-1,2021-08-01T20:37:14Z
Sonntag,4,REWE,"Eschengraben 47, 13189 Berlin",52.55650677972201,13.422354951744923,People typically spend 20 min here,0,-1,2021-08-01T20:37:14Z
Sonntag,4,Neumann Forum,"Neumannstraße 13, 13189 Berlin",52.56126717972294,13.420410951744977,People typically spend 15-45 min here,0,-1,2021-08-01T20:37:14Z
Sonntag,4,S Pankow-Heinersdorf,13187 Berlin,52.57737657972605,13.426368351745417,,0,0,2021-08-01T20:37:14Z
Sonntag,4,PENNY,"Wisbyer Str. 38, 13189 Berlin",52.55275407972118,13.425687151744752,People typically spend 20 min here,0,-1,2021-08-01T20:37:14Z
Sonntag,5,Brennerberg,"Tiroler Str. 33, 13187 Berlin",52.558784679722564,13.405973651744956,People typically spend up to 1 hour here,1,26,2021-08-01T20:37:14Z
Sonntag,5,Kissingen-Stadion,"Forchheimer Str. 22, 13189 Berlin",52.56612867972399,13.421722951745233,"People typically spend 20 min to 1,5 hr here",0,-1,2021-08-01T20:37:14Z
Sonntag,5,Diseño,"Berliner Str. 53, 13189 Berlin",52.55848007972245,13.410832151744893,,0,-1,2021-08-01T20:37:14Z
Sonntag,5,U Vinetastr.,13189 Berlin,52.55943137972266,13.411141951744963,,0,47,2021-08-01T20:37:14Z
Sonntag,5,S+U Pankow,13187 Berlin,52.56639777972402,13.4083283517452,,1,28,2021-08-01T20:37:14Z
Sonntag,5,Wochenmarkt Pankow,"Breite Str. 17, 13187 Berlin",52.56999217972469,13.4040258517453,People typically spend 10 min here,0,-1,2021-08-01T20:37:14Z
Sonntag,5,REWE,"Eschengraben 47, 13189 Berlin",52.55650677972201,13.422354951744923,People typically spend 20 min here,0,-1,2021-08-01T20:37:14Z
Sonntag,5,Neumann Forum,"Neumannstraße 13, 13189 Berlin",52.56126717972294,13.420410951744977,People typically spend 15-45 min here,0,-1,2021-08-01T20:37:14Z
Sonntag,5,S Pankow-Heinersdorf,13187 Berlin,52.57737657972605,13.426368351745417,,0,0,2021-08-01T20:37:14Z
Sonntag,5,PENNY,"Wisbyer Str. 38, 13189 Berlin",52.55275407972118,13.425687151744752,People typically spend 20 min here,0,-1,2021-08-01T20:37:14Z
Sonntag,6,Brennerberg,"Tiroler Str. 33, 13187 Berlin",52.558784679722564,13.405973651744956,People typically spend up to 1 hour here,1,26,2021-08-01T20:37:14Z
Sonntag,6,Kissingen-Stadion,"Forchheimer Str. 22, 13189 Berlin",52.56612867972399,13.421722951745233,"People typically spend 20 min to 1,5 hr here",0,-1,2021-08-01T20:37:14Z
Sonntag,6,Diseño,"Berliner Str. 53, 13189 Berlin",52.55848007972245,13.410832151744893,,0,-1,2021-08-01T20:37:14Z
Sonntag,6,U Vinetastr.,13189 Berlin,52.55943137972266,13.411141951744963,,3,47,2021-08-01T20:37:14Z
Sonntag,6,S+U Pankow,13187 Berlin,52.56639777972402,13.4083283517452,,3,28,2021-08-01T20:37:14Z
Sonntag,6,Wochenmarkt Pankow,"Breite Str. 17, 13187 Berlin",52.56999217972469,13.4040258517453,People typically spend 10 min here,0,-1,2021-08-01T20:37:14Z
Sonntag,6,REWE,"Eschengraben 47, 13189 Berlin",52.55650677972201,13.422354951744923,People typically spend 20 min here,0,-1,2021-08-01T20:37:14Z
Sonntag,6,Neumann Forum,"Neumannstraße 13, 13189 Berlin",52.56126717972294,13.420410951744977,People typically spend 15-45 min here,0,-1,2021-08-01T20:37:14Z
