hour,location,Sonntag,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,address
4,Brennerberg,1,1,1,1,1,1,1,"Tiroler Str. 33, 13187 Berlin"
4,Kissingen-Stadion,0,0,0,0,0,0,0,"Forchheimer Str. 22, 13189 Berlin"
4,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
4,U Vinetastr.,0,2,1,6,1,3,0,13189 Berlin
4,S+U Pankow,0,9,11,12,11,17,6,13187 Berlin
4,Wochenmarkt Pankow,0,0,0,0,0,0,0,"Breite Str. 17, 13187 Berlin"
4,REWE,0,0,0,0,0,0,0,"Eschengraben 47, 13189 Berlin"
4,Neumann Forum,0,0,0,0,0,0,0,"Neumannstraße 13, 13189 Berlin"
4,S Pankow-Heinersdorf,0,28,12,25,16,19,4,13187 Berlin
4,PENNY,0,0,0,0,0,0,0,"Wisbyer Str. 38, 13189 Berlin"
5,Brennerberg,1,1,1,1,1,1,1,"Tiroler Str. 33, 13187 Berlin"
5,Kissingen-Stadion,0,0,0,0,0,0,0,"Forchheimer Str. 22, 13189 Berlin"
5,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
5,U Vinetastr.,0,14,15,21,15,14,4,13189 Berlin
5,S+U Pankow,1,24,28,28,28,30,7,13187 Berlin
5,Wochenmarkt Pankow,0,0,0,0,0,0,0,"Breite Str. 17, 13187 Berlin"
5,REWE,0,0,0,0,0,0,0,"Eschengraben 47, 13189 Berlin"
5,Neumann Forum,0,0,0,0,0,0,0,"Neumannstraße 13, 13189 Berlin"
5,S Pankow-Heinersdorf,0,49,31,47,36,37,11,13187 Berlin
5,PENNY,0,0,0,0,0,0,0,"Wisbyer Str. 38, 13189 Berlin"
6,Brennerberg,1,0,3,0,1,1,1,"Tiroler Str. 33, 13187 Berlin"
6,Kissingen-Stadion,0,0,0,0,0,0,0,"Forchheimer Str. 22, 13189 Berlin"
6,Diseño,0,0,0,0,0,0,0,"Berliner Str. 53, 13189 Berlin"
6,U Vinetastr.,3,30,33,40,32,29,10,13189 Berlin
6,S+U Pankow,3,42,49,48,49,44,11,13187 Berlin
